ITEM_MDDV_NM,item_count
비스킷류,6335
선물세트,6093
캔디류,4848
초콜릿,4588
과일,4486
간식빵,3634
스낵류,3432
도시락,2375
노벨티,2357
와인,2088
신선냉동,1975
삼각김밥,1876
냉장간식,1823
냉장간편식,1780
샌드위치,1778
김밥,1311
캔,1215
세븐카페,1210
주스,1039
양주,1038
즉석조리,1009
가공우유,987
야채,978
컨셉카페,965
젤리류,914
고급,902
냉장베이커리,899
시즌케익,894
껌,871
파우치,863
수축산/계란,850
용기면,845
햄버거,804
오징어,791
떡,757
기능성드링크,698
봉지면,689
탄산음료,688
건해산물,666
수입맥주,637
소스류,632
요구르트,631
차,625
하이볼,611
가공미반류,604
냉장주스,602
상온간편식,590
두유,578
커피,569
차음료,554
구움과자,533
국산맥주,531
기타전통주,505
호빵,504
즉석치킨,495
커피음료,476
냉동간편식,471
쌀/잡곡,444
막걸리,406
푸드 간편식,397
컵커피,395
원컵,387
소주,387
냉장안주,382
프리미엄,349
생수,346
식용유지,343
건강/이너뷰티,323
조리냉동,321
(구)과일야채,318
냉동만두,313
젤리,302
장류,302
너트류,296
프로틴/시리얼,283
전통음료,282
샐러드,266
스포츠음료,256
냉장피자,237
유제품,231
생선류,226
흰우유,203
기타,203
홈타입,202
즉석간식,201
조미료,196
리쿼,193
숙취해소제,178
육포,173
초밥류,171
식빵,169
스낵안주,135
농산안주,127
샐러드(삭제예정),123
조리면,116
쨈/꿀,109
얼음,107
기능성우유,100
프로틴 음료,83
분말가루,67
냉동디저트,63
무알콜맥주,44
가공과일,43
기타음료_삭제예정,24
샐러드모닝랩,13
생맥주,10
팝콘,9
전자렌지용찐빵,2
즉석치킨(삭제예정),2
