ITEM_MDDV_NM,smdv_count
선물세트,10
탄산음료,10
냉장간편식,9
냉장간식,9
과일,8
비스킷류,7
간식빵,7
기능성드링크,6
노벨티,6
캔디류,6
초콜릿,6
국산맥주,6
프로틴/시리얼,6
고급,6
커피,5
스낵류,5
상온간편식,5
신선냉동,5
와인,5
커피음료,5
가공우유,5
차음료,5
컨셉카페,5
기타전통주,5
소스류,5
캔,5
주스,4
야채,4
수축산/계란,4
원컵,4
용기면,4
생수,4
즉석치킨,4
즉석조리,4
쌀/잡곡,4
냉동간편식,4
가공미반류,4
도시락,4
냉장주스,4
냉장안주,4
냉장베이커리,4
껌,4
파우치,3
양주,3
홈타입,3
얼음,3
프리미엄,3
오징어,3
푸드 간편식,3
차,3
요구르트,3
즉석간식,3
유제품,3
장류,3
전통음료,3
젤리,3
조미료,3
초밥류,3
숙취해소제,3
흰우유,3
기능성우유,3
구움과자,3
냉장피자,3
봉지면,3
삼각김밥,3
냉동디저트,3
샌드위치,3
기타음료_삭제예정,3
떡,3
두유,3
스낵안주,3
건강/이너뷰티,3
소주,3
수입맥주,3
스포츠음료,3
생선류,3
하이볼,2
농산안주,2
너트류,2
냉동만두,2
김밥,2
호빵,2
컵커피,2
기타,2
햄버거,2
프로틴 음료,2
식용유지,2
막걸리,2
생맥주,2
즉석치킨(삭제예정),2
식빵,2
무알콜맥주,2
시즌케익,2
조리면,2
조리냉동,2
젤리류,2
샐러드,2
쨈/꿀,2
샐러드(삭제예정),2
육포,2
샐러드모닝랩,2
세븐카페,2
리쿼,1
가공과일,1
전자렌지용찐빵,1
건해산물,1
팝콘,1
분말가루,1
(구)과일야채,1
