ITEM_MDDV_NM,mapped_l_count
선물세트,8
냉장간식,2
냉동디저트,2
기타,2
(구)과일야채,1
유제품,1
조미료,1
조리면,1
조리냉동,1
젤리류,1
젤리,1
전통음료,1
전자렌지용찐빵,1
장류,1
육포,1
용기면,1
원컵,1
즉석간식,1
요구르트,1
와인,1
오징어,1
얼음,1
양주,1
야채,1
쌀/잡곡,1
신선냉동,1
식용유지,1
식빵,1
주스,1
즉석치킨,1
즉석조리,1
스포츠음료,1
홈타입,1
호빵,1
햄버거,1
하이볼,1
프리미엄,1
프로틴/시리얼,1
프로틴 음료,1
푸드 간편식,1
팝콘,1
파우치,1
탄산음료,1
컵커피,1
컨셉카페,1
커피음료,1
커피,1
캔디류,1
캔,1
초콜릿,1
초밥류,1
차음료,1
차,1
쨈/꿀,1
즉석치킨(삭제예정),1
시즌케익,1
숙취해소제,1
스낵안주,1
스낵류,1
너트류,1
냉장피자,1
냉장주스,1
냉장안주,1
냉장베이커리,1
냉장간편식,1
냉동만두,1
냉동간편식,1
껌,1
김밥,1
기타전통주,1
기타음료_삭제예정,1
기능성우유,1
기능성드링크,1
국산맥주,1
구움과자,1
과일,1
고급,1
건해산물,1
건강/이너뷰티,1
간식빵,1
가공우유,1
가공미반류,1
노벨티,1
농산안주,1
도시락,1
샐러드(삭제예정),1
가공과일,1
수축산/계란,1
수입맥주,1
소주,1
소스류,1
세븐카페,1
생수,1
생선류,1
생맥주,1
샐러드모닝랩,1
샐러드,1
두유,1
샌드위치,1
상온간편식,1
삼각김밥,1
비스킷류,1
분말가루,1
봉지면,1
무알콜맥주,1
막걸리,1
리쿼,1
떡,1
흰우유,1
